所属课节ID,汉字,字符
6875,丫,ya
6869,卡,ka
6888,井,jing
6880,勺,shao
6886,儿,er
6884,反,fan
6885,币,bi
6868,支,zhi
6865,五,wu
6864,去,qu
6871,白,bai
6866,百,bai_100
6900,米, mi
7526,网,wang
7449,牙,ya_tooth
7501,门,men
6863,正,zheng
6878,羊,yang
6876,末,mo
7446,因,yin_because
6913,只,zhi_a
6862,三,san
7500,义,yi
7479,人,ren
7483,云,yun
7486,叶,ye
6887,斤,jin
7447,方,fang
7456,空,kong
7445,见,jian
7460,子,zi
7477,木,mu
6881,自,zi_self
7442,西,xi
7475,立,li
6883,禾,he
6872,田,tian
6891,火,huo
7494,水,shui
7481,本,ben
6898,成,cheng
7522,山,shan_m
6908,小,xiao
6889,天,tian_sky
6890,大,da
6893,在,zai
7489,凡,fan_or
7516,可,ke
6907,冬,dong
6867,甘,gan
7490,闪,shan
6897,戊,wu_his
6892,央,yang_center
7454,买,mai_b
7455,尔,er_you
7457,寸,cun
7458,乎,hu
7459,余,yu
7462,孔,kong_name
7463,戈,ge_war
7464,代,dai
7465,民,min
7466,必,bi_m
7469,习,xi_study
7470,虫,chong
7471,式,shi_f
7472,长,chang_l
7473,氏,shi_name
7474,良,liang
7476,古,gu
7478,丰,feng
7480,个,ge_a
7482,它,ta_it
7484,亏,kui
7485,川,chuan
7488,月,yue_m
6899,父,fu_f
6905,令,ling
6901,交,jiao
6909,穴,xue_cave
6902,之,zhi_b
6903,芝,zhi_c
6904,达,da_arr
6906,主,zhu
6910,农,nong
6911,内,nei
6912,么,me
7441,书,shu_book
7450,岁,sui
7502,衣,yi_close
7503,犬,quan
7504,发,fa
7505,龙,long_d
7506,叉,cha_fork
7510,左,zuo_left
7511,厅,ting
7515,句,ju
7517,匀,yun_dis
7518,过,guo
7519,处,chu
7523,凶,xiong
7525,凤,feng_bird
7528,巨,ju_huge
7529,匹,pi
